trainingdata,dim,n,m,track,rank,step,l,acc,model,C
jrnd,30,6,5,opt,f,15,4930,74.1582,PREF,10
jrnd,30,6,5,opt,f,16,4916,73.2710,PREF,10
jrnd,30,6,5,opt,f,17,4864,74.8355,PREF,10
jrnd,30,6,5,opt,f,18,4716,73.3673,PREF,10
jrnd,30,6,5,opt,f,19,4598,75.5546,PREF,10
jrnd,30,6,5,opt,f,20,4312,78.8497,PREF,10
jrnd,30,6,5,opt,f,21,3942,80.4160,PREF,10
jrnd,30,6,5,opt,f,22,3564,82.3793,PREF,10
jrnd,30,6,5,opt,f,23,3140,83.3121,PREF,10
jrnd,30,6,5,opt,f,24,2708,83.8257,PREF,10
jrnd,30,6,5,opt,f,25,2156,84.6939,PREF,10
jrnd,30,6,5,opt,f,26,1652,89.5884,PREF,10
jrnd,30,6,5,opt,f,27,1060,94.9057,PREF,10
jrnd,30,6,5,opt,f,28,490,98.3673,PREF,10
jrnd,30,6,5,opt,f,29,106,100.0000,PREF,10
jrnd,30,6,5,opt,p,1,4550,57.1429,PREF,10
jrnd,30,6,5,opt,p,2,4650,59.1398,PREF,10
jrnd,30,6,5,opt,p,3,4780,61.9247,PREF,10
jrnd,30,6,5,opt,p,4,4760,64.2857,PREF,10
jrnd,30,6,5,opt,p,5,4760,62.1849,PREF,10
jrnd,30,6,5,opt,p,6,4810,63.2017,PREF,10
jrnd,30,6,5,opt,p,7,4830,59.2133,PREF,10
jrnd,30,6,5,opt,p,8,4858,62.7830,PREF,10
jrnd,30,6,5,opt,p,9,4888,67.0622,PREF,10
jrnd,30,6,5,opt,p,10,4872,67.9803,PREF,10
jrnd,30,6,5,opt,p,11,4834,67.6458,PREF,10
jrnd,30,6,5,opt,p,12,4850,69.0722,PREF,10
jrnd,30,6,5,opt,p,13,4720,69.6610,PREF,10
jrnd,30,6,5,opt,p,14,4746,72.6928,PREF,10
jrnd,30,6,5,opt,p,15,4632,74.3092,PREF,10
jrnd,30,6,5,opt,p,16,4600,73.5652,PREF,10
jrnd,30,6,5,opt,p,17,4514,76.0301,PREF,10
jrnd,30,6,5,opt,p,18,4354,73.5875,PREF,10
jrnd,30,6,5,opt,p,19,4222,76.2672,PREF,10
jrnd,30,6,5,opt,p,20,4020,79.1045,PREF,10
jrnd,30,6,5,opt,p,21,3732,80.6002,PREF,10
jrnd,30,6,5,opt,p,22,3414,82.1324,PREF,10
jrnd,30,6,5,opt,p,23,3032,82.8496,PREF,10
jrnd,30,6,5,opt,p,24,2642,83.4217,PREF,10
jrnd,30,6,5,opt,p,25,2124,85.0282,PREF,10
jrnd,30,6,5,opt,p,26,1634,88.7393,PREF,10
jrnd,30,6,5,opt,p,27,1058,94.8960,PREF,10
jrnd,30,6,5,opt,p,28,490,98.3673,PREF,10
jrnd,30,6,5,opt,p,29,106,100.0000,PREF,10
jrnd,30,6,5,opt,a,1,11772,53.8056,PREF,10
jrnd,30,6,5,opt,a,2,12414,59.5940,PREF,10
jrnd,30,6,5,opt,a,3,12828,61.4905,PREF,10
jrnd,30,6,5,opt,a,4,12694,62.0451,PREF,10
jrnd,30,6,5,opt,a,5,12614,61.8678,PREF,10
jrnd,30,6,5,opt,a,6,12806,62.1740,PREF,10
jrnd,30,6,5,opt,a,7,12960,62.5154,PREF,10
jrnd,30,6,5,opt,a,8,13130,63.8081,PREF,10
jrnd,30,6,5,opt,a,9,13236,66.8178,PREF,10
jrnd,30,6,5,opt,a,10,13080,67.9358,PREF,10
jrnd,30,6,5,opt,a,11,12924,67.0071,PREF,10
jrnd,30,6,5,opt,a,12,12836,67.9651,PREF,10
jrnd,30,6,5,opt,a,13,12446,69.1306,PREF,10
jrnd,30,6,5,opt,a,14,12392,72.4500,PREF,10
jrnd,30,6,5,opt,a,15,12058,72.5991,PREF,10
jrnd,30,6,5,opt,a,16,11814,73.6076,PREF,10
jrnd,30,6,5,opt,a,17,11544,74.7401,PREF,10
jrnd,30,6,5,opt,a,18,11152,74.6234,PREF,10
jrnd,30,6,5,opt,a,19,10636,75.5923,PREF,10
jrnd,30,6,5,opt,a,20,9884,79.1178,PREF,10
jrnd,30,6,5,opt,a,21,9014,80.0089,PREF,10
jrnd,30,6,5,opt,a,22,8070,81.0409,PREF,10
jrnd,30,6,5,opt,a,23,6976,83.3429,PREF,10
jrnd,30,6,5,opt,a,24,5906,84.9306,PREF,10
jrnd,30,6,5,opt,a,25,4546,85.0418,PREF,10
jrnd,30,6,5,opt,a,26,3402,89.4180,PREF,10
jrnd,30,6,5,opt,a,27,2132,94.0901,PREF,10
jrnd,30,6,5,opt,a,28,980,99.1837,PREF,10
jrnd,30,6,5,opt,a,29,212,100.0000,PREF,10
jrnd,30,6,5,mwr,b,1,6632,54.0712,PREF,10
jrnd,30,6,5,mwr,b,2,6520,60.3067,PREF,10
jrnd,30,6,5,mwr,b,3,6276,65.9018,PREF,10
jrnd,30,6,5,mwr,b,4,6260,69.2652,PREF,10
jrnd,30,6,5,mwr,b,5,6146,69.4435,PREF,10
jrnd,30,6,5,mwr,b,6,6202,67.5589,PREF,10
jrnd,30,6,5,mwr,b,7,6102,67.1911,PREF,10
jrnd,30,6,5,mwr,b,8,6074,68.0935,PREF,10
jrnd,30,6,5,mwr,b,9,5966,70.6671,PREF,10
jrnd,30,6,5,mwr,b,10,5678,71.6802,PREF,10
jrnd,30,6,5,mwr,b,11,5684,72.6249,PREF,10
jrnd,30,6,5,mwr,b,12,5646,70.7758,PREF,10
jrnd,30,6,5,mwr,b,13,5558,72.8679,PREF,10
jrnd,30,6,5,mwr,b,14,5368,71.8331,PREF,10
jrnd,30,6,5,mwr,b,15,5248,73.2851,PREF,10
jrnd,30,6,5,mwr,b,16,5076,76.7533,PREF,10
jrnd,30,6,5,mwr,b,17,4988,79.1500,PREF,10
jrnd,30,6,5,mwr,b,18,4906,79.7799,PREF,10
jrnd,30,6,5,mwr,b,19,4756,83.0530,PREF,10
jrnd,30,6,5,mwr,b,20,4998,84.7539,PREF,10
jrnd,30,6,5,mwr,b,21,5022,86.5392,PREF,10
jrnd,30,6,5,mwr,b,22,4940,86.0729,PREF,10
jrnd,30,6,5,mwr,b,23,4686,88.0495,PREF,10
jrnd,30,6,5,mwr,b,24,4344,89.3646,PREF,10
jrnd,30,6,5,mwr,b,25,3984,94.0763,PREF,10
jrnd,30,6,5,mwr,b,26,1812,96.4680,PREF,10
jrnd,30,6,5,mwr,b,27,730,95.3425,PREF,10
jrnd,30,6,5,mwr,b,28,228,100.0000,PREF,10
jrnd,30,6,5,mwr,b,29,22,100.0000,PREF,10
jrnd,30,6,5,mwr,f,1,5140,57.6265,PREF,10
jrnd,30,6,5,mwr,f,2,5156,60.9387,PREF,10
jrnd,30,6,5,mwr,f,3,4906,62.9841,PREF,10
jrnd,30,6,5,mwr,f,4,4990,70.1403,PREF,10
jrnd,30,6,5,mwr,f,5,4928,67.4919,PREF,10
jrnd,30,6,5,mwr,f,6,4808,64.7255,PREF,10
jrnd,30,6,5,mwr,f,7,4782,64.4918,PREF,10
jrnd,30,6,5,mwr,f,8,4752,68.5185,PREF,10
jrnd,30,6,5,mwr,f,9,4726,71.1384,PREF,10
jrnd,30,6,5,mwr,f,10,4518,71.1819,PREF,10
jrnd,30,6,5,mwr,f,11,4506,71.9041,PREF,10
jrnd,30,6,5,mwr,f,12,4474,69.5574,PREF,10
jrnd,30,6,5,mwr,f,13,4374,67.4440,PREF,10
jrnd,30,6,5,mwr,f,14,4302,69.6420,PREF,10
jrnd,30,6,5,mwr,f,15,4240,72.7358,PREF,10
jrnd,30,6,5,mwr,f,16,4106,80.3702,PREF,10
jrnd,30,6,5,mwr,f,17,4006,84.7229,PREF,10
jrnd,30,6,5,mwr,f,18,3980,80.1508,PREF,10
jrnd,30,6,5,mwr,f,19,3882,82.0711,PREF,10
jrnd,30,6,5,mwr,f,20,4060,85.7635,PREF,10
jrnd,30,6,5,mwr,f,21,4070,85.9951,PREF,10
jrnd,30,6,5,mwr,f,22,3952,85.2227,PREF,10
jrnd,30,6,5,mwr,f,23,3766,86.3516,PREF,10
jrnd,30,6,5,mwr,f,24,3478,89.1317,PREF,10
jrnd,30,6,5,mwr,f,25,3116,93.5815,PREF,10
jrnd,30,6,5,mwr,f,26,1568,97.4490,PREF,10
jrnd,30,6,5,mwr,f,27,680,96.4706,PREF,10
jrnd,30,6,5,mwr,f,28,228,100.0000,PREF,10
jrnd,30,6,5,mwr,f,29,22,100.0000,PREF,10
jrnd,30,6,5,mwr,p,1,4550,57.1429,PREF,10
jrnd,30,6,5,mwr,p,2,4510,61.6408,PREF,10
jrnd,30,6,5,mwr,p,3,4370,62.9291,PREF,10
jrnd,30,6,5,mwr,p,4,4400,69.3182,PREF,10
jrnd,30,6,5,mwr,p,5,4350,68.7356,PREF,10
jrnd,30,6,5,mwr,p,6,4310,64.9652,PREF,10
jrnd,30,6,5,mwr,p,7,4300,65.8140,PREF,10
jrnd,30,6,5,mwr,p,8,4330,68.1293,PREF,10
jrnd,30,6,5,mwr,p,9,4260,72.0657,PREF,10
jrnd,30,6,5,mwr,p,10,4160,71.6346,PREF,10
jrnd,30,6,5,mwr,p,11,4090,72.6161,PREF,10
jrnd,30,6,5,mwr,p,12,4040,68.8119,PREF,10
jrnd,30,6,5,mwr,p,13,4010,68.5786,PREF,10
jrnd,30,6,5,mwr,p,14,3880,70.1031,PREF,10
jrnd,30,6,5,mwr,p,15,3840,73.4375,PREF,10
jrnd,30,6,5,mwr,p,16,3760,80.3191,PREF,10
jrnd,30,6,5,mwr,p,17,3770,83.5544,PREF,10
jrnd,30,6,5,mwr,p,18,3740,81.2834,PREF,10
jrnd,30,6,5,mwr,p,19,3660,82.7869,PREF,10
jrnd,30,6,5,mwr,p,20,3840,85.9375,PREF,10
jrnd,30,6,5,mwr,p,21,3860,86.5285,PREF,10
jrnd,30,6,5,mwr,p,22,3760,85.6383,PREF,10
jrnd,30,6,5,mwr,p,23,3600,86.9444,PREF,10
jrnd,30,6,5,mwr,p,24,3370,89.0208,PREF,10
jrnd,30,6,5,mwr,p,25,3080,93.5065,PREF,10
jrnd,30,6,5,mwr,p,26,1560,96.9231,PREF,10
jrnd,30,6,5,mwr,p,27,678,96.4602,PREF,10
jrnd,30,6,5,mwr,p,28,228,100.0000,PREF,10
